,256,512,1024,2048,4096,8192,16384
GEMM,16.428062737946473,19.321157621556733,23.285010693541874,23.499845882212867,19.569042342303604,15.175716260277024,11.596709377517309
SSM_Scan,7.550037345832668,9.002174738394821,11.188943246356274,11.55762085182219,8.818286139052365,6.558519955600911,4.976353060055334
activation,0.3215690225698733,0.3475420330450964,0.3489588646790832,0.601946024199853,0.6553876147162251,0.5800876082223438,0.4676441171831842
arithmetic,15.770300031607372,14.73527630898215,13.811707581051849,11.244465550650167,13.115087100813518,16.132786754240968,21.54354917875076
embedding,0.0245069450886882,0.0255577807183977,0.0267351743907176,0.0179247601045453,0.01170535563544,0.0076451457345281,0.0053983733399084
interpolation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_computation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory,28.482787047611897,25.243355056586346,21.97257013211416,29.92377451755468,40.43118431167719,46.29377872275153,48.66284360519577
nomralization,21.29857641104168,19.510169254745847,17.869255397125553,13.122149550158843,10.473474044895228,9.950820097774583,8.22252649958465
other,10.124160458301365,11.814767205970622,11.496818910740492,10.03227286329684,6.925833090906433,5.30064545539812,4.524975788373096
pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
